feature,feature,feature,feature,feature,feature,label
1,1,1,50,1,50,1
50,50,50,50,50,50,0
1,1,1,1,1,50,1
1,1,1,1,1,50,1
1,1,1,1,1,50,1
100,1,1,1,50,50,1
100,1,1,1,50,50,1
100,1,1,1,50,50,1
100,1,1,1,50,50,1
1,1,1,1,1,50,1
50,50,100,50,100,50,0
100,50,1,1,1,50,1
50,1,1,1,1,50,1
50,1,1,1,1,50,1
50,1,1,1,1,50,1
100,50,1,1,1,50,1
50,50,50,50,100,50,0
1,100,100,50,100,50,0
50,100,100,50,50,50,0
1,1,1,50,1,50,1
1,1,1,1,1,50,1
1,1,1,1,1,50,1
50,50,100,50,50,50,0
50,50,50,50,100,50,0
50,50,100,100,100,50,0
50,50,50,100,100,50,0
1,1,1,1,1,50,1
50,50,50,100,100,50,0
100,50,1,50,100,50,0
50,1,50,100,100,50,0
100,50,50,50,100,50,0
50,50,100,100,100,50,0
1,1,1,50,1,50,1
50,1,50,50,100,50,0
50,50,100,50,50,50,0
50,50,50,100,100,50,0
1,1,100,100,100,50,0
50,1,1,1,1,50,1
1,1,100,100,100,50,0
50,50,100,50,100,50,0
50,50,50,50,50,50,0
50,50,100,100,50,50,0
100,1,1,100,100,50,0
1,100,1,100,100,50,0
100,50,50,50,100,50,0
50,50,50,100,50,50,0
50,50,1,100,100,50,0
1,1,1,1,1,50,1
50,50,50,100,50,50,0
1,1,1,1,1,50,1
50,1,1,1,1,50,1
50,50,100,100,50,50,0
50,50,50,100,100,50,0
50,1,1,100,100,50,0
50,1,1,100,100,50,0
1,1,1,50,1,50,1
1,1,50,50,50,1,0
1,1,100,100,50,1,0
1,1,50,100,50,1,0
100,1,100,100,50,1,0
1,100,50,50,50,1,0
100,50,100,1,100,1,0
50,50,50,50,100,1,0
1,1,100,50,50,1,0
1,1,100,100,100,1,0
1,1,100,100,100,1,0
1,1,50,50,50,1,0
1,100,100,100,100,1,0
100,1,50,50,50,1,0
1,1,100,50,100,1,0
100,50,100,100,100,1,0
1,100,100,100,100,1,0
100,100,50,100,100,1,0
1,100,50,50,50,1,0
1,1,50,100,50,1,0
1,1,50,100,50,1,0
1,1,100,100,50,1,0
1,1,100,50,50,1,0
1,1,50,100,50,1,0
1,1,50,1,1,1,1
50,50,1,1,1,1,1
50,50,1,1,1,1,1
50,50,1,1,1,1,1
50,50,1,1,1,1,1
100,50,1,1,1,1,1
100,50,1,1,1,1,1
